Round,Date,Team 1,FT,HT,Team 2
?,(Sun) 20 Oct 1996 (42),Ionikos FC (5),4-1,?,Aris Thessaloniki FC (5)
?,(Sun) 20 Oct 1996 (42),OFI Crete FC (5),1-0,?,Kavala FC (5)
?,(Sun) 20 Oct 1996 (42),Panathinaikos FC (5),4-1,?,Edessaikos FC (5)
?,(Sun) 20 Oct 1996 (42),Paniliakos FC (5),2-1,?,Kastoria FC (5)
?,(Sun) 20 Oct 1996 (42),PAOK FC (5),1-0,?,Athinaikos AS FC (5)
?,(Sun) 20 Oct 1996 (42),Veria FC (5),4-0,?,Panachaiki FC (5)
?,(Mon) 21 Oct 1996 (43),Kalamata FC (5),0-3,?,AEK Athens FC (5)
?,(Sat) 26 Oct 1996 (43),Athinaikos AS FC (6),0-1,?,Olympiacos Piraeus FC (6)
?,(Sun) 27 Oct 1996 (43),AEK Athens FC (6),2-1,?,Apollon Smyrnis FC (6)
?,(Sun) 27 Oct 1996 (43),Aris Thessaloniki FC (6),0-0,?,Panathinaikos FC (6)
?,(Sun) 27 Oct 1996 (43),Edessaikos FC (6),2-0,?,Veria FC (6)
?,(Sun) 27 Oct 1996 (43),Ionikos FC (6),1-1,?,Paniliakos FC (6)
?,(Sun) 27 Oct 1996 (43),Kastoria FC (6),0-1,?,OFI Crete FC (6)
?,(Sun) 27 Oct 1996 (43),Panachaiki FC (6),2-0,?,PAOK FC (6)
?,(Sun) 27 Oct 1996 (43),Xanthi FC (6),0-0,?,Kalamata FC (6)
?,(Mon) 28 Oct 1996 (44),Kavala FC (6),1-0,?,Heracles Almelo (6)
?,(Sat) 2 Nov 1996 (44),Veria FC (7),1-1,?,Aris Thessaloniki FC (7)
?,(Sun) 3 Nov 1996 (44),Apollon Smyrnis FC (7),2-1,?,Xanthi FC (7)
?,(Sun) 3 Nov 1996 (44),Heracles Almelo (7),2-1,?,Kastoria FC (7)
?,(Sun) 3 Nov 1996 (44),Kalamata FC (7),1-0,?,Kavala FC (7)
?,(Sun) 3 Nov 1996 (44),Olympiacos Piraeus FC (7),0-0,?,Panachaiki FC (7)
?,(Sun) 3 Nov 1996 (44),Panathinaikos FC (7),1-0,?,Ionikos FC (7)
?,(Sun) 3 Nov 1996 (44),Paniliakos FC (7),0-4,?,OFI Crete FC (7)
?,(Sun) 3 Nov 1996 (44),PAOK FC (7),1-1,?,Edessaikos FC (7)
?,(Mon) 4 Nov 1996 (45),Athinaikos AS FC (7),0-7,?,AEK Athens FC (7)
?,(Sat) 16 Nov 1996 (46),Ionikos FC (8),0-1,?,Veria FC (8)
?,(Sun) 17 Nov 1996 (46),Edessaikos FC (8),2-3,?,Olympiacos Piraeus FC (8)
?,(Sun) 17 Nov 1996 (46),Panachaiki FC (8),1-1,?,AEK Athens FC (8)
?,(Mon) 18 Nov 1996 (47),Aris Thessaloniki FC (8),0-0,?,PAOK FC (8)
?,(Mon) 18 Nov 1996 (47),Kastoria FC (8),1-2,?,Kalamata FC (8)
?,(Mon) 18 Nov 1996 (47),Kavala FC (8),2-1,?,Apollon Smyrnis FC (8)
?,(Mon) 18 Nov 1996 (47),OFI Crete FC (8),1-0,?,Heracles Almelo (8)
?,(Mon) 18 Nov 1996 (47),Panathinaikos FC (8),3-0,?,Paniliakos FC (8)
?,(Mon) 18 Nov 1996 (47),Xanthi FC (8),2-3,?,Athinaikos AS FC (8)
?,(Sat) 23 Nov 1996 (47),Veria FC (9),0-0,?,Panathinaikos FC (9)
?,(Sun) 24 Nov 1996 (47),AEK Athens FC (9),2-0,?,Edessaikos FC (9)
?,(Sun) 24 Nov 1996 (47),Apollon Smyrnis FC (9),2-0,?,Kastoria FC (9)
?,(Sun) 24 Nov 1996 (47),Athinaikos AS FC (9),1-4,?,Kavala FC (9)
?,(Sun) 24 Nov 1996 (47),Kalamata FC (9),1-1,?,OFI Crete FC (9)
?,(Sun) 24 Nov 1996 (47),Olympiacos Piraeus FC (9),4-0,?,Aris Thessaloniki FC (9)
?,(Sun) 24 Nov 1996 (47),Paniliakos FC (9),3-1,?,Heracles Almelo (9)
?,(Sun) 24 Nov 1996 (47),PAOK FC (9),2-0,?,Ionikos FC (9)
?,(Mon) 25 Nov 1996 (48),Panachaiki FC (9),1-1,?,Xanthi FC (9)
?,(Sun) 1 Dec 1996 (48),Aris Thessaloniki FC (10),3-2,?,AEK Athens FC (10)
?,(Sun) 1 Dec 1996 (48),Heracles Almelo (10),2-5,?,Kalamata FC (10)
?,(Sun) 1 Dec 1996 (48),Kastoria FC (10),1-0,?,Athinaikos AS FC (10)
?,(Sun) 1 Dec 1996 (48),Kavala FC (10),1-0,?,Panachaiki FC (10)
?,(Sun) 1 Dec 1996 (48),OFI Crete FC (10),3-0,?,Apollon Smyrnis FC (10)
?,(Sun) 1 Dec 1996 (48),Panathinaikos FC (10),5-0,?,PAOK FC (10)
?,(Sun) 1 Dec 1996 (48),Veria FC (10),2-0,?,Paniliakos FC (10)
?,(Sun) 1 Dec 1996 (48),Xanthi FC (10),0-1,?,Edessaikos FC (10)
?,(Mon) 2 Dec 1996 (49),Ionikos FC (10),0-1,?,Olympiacos Piraeus FC (10)
?,(Sun) 8 Dec 1996 (49),AEK Athens FC (11),2-1,?,Ionikos FC (11)
?,(Sun) 8 Dec 1996 (49),Apollon Smyrnis FC (11),4-1,?,Heracles Almelo (11)
?,(Sun) 8 Dec 1996 (49),Olympiacos Piraeus FC (11),1-0,?,Panathinaikos FC (11)
?,(Sun) 8 Dec 1996 (49),Panachaiki FC (11),3-0,?,Kastoria FC (11)
?,(Sun) 8 Dec 1996 (49),PAOK FC (11),0-0,?,Veria FC (11)
?,(Sun) 8 Dec 1996 (49),Xanthi FC (11),3-2,?,Aris Thessaloniki FC (11)
?,(Mon) 9 Dec 1996 (50),Athinaikos AS FC (11),0-0,?,OFI Crete FC (11)
?,(Mon) 9 Dec 1996 (50),Edessaikos FC (11),0-0,?,Kavala FC (11)
?,(Mon) 9 Dec 1996 (50),Paniliakos FC (11),4-0,?,Kalamata FC (11)
?,(Sat) 14 Dec 1996 (50),Kastoria FC (12),1-1,?,Edessaikos FC (12)
?,(Sun) 15 Dec 1996 (50),Heracles Almelo (12),2-0,?,Athinaikos AS FC (12)
?,(Sun) 15 Dec 1996 (50),Ionikos FC (12),3-0,?,Xanthi FC (12)
?,(Sun) 15 Dec 1996 (50),Kalamata FC (12),2-2,?,Apollon Smyrnis FC (12)
?,(Sun) 15 Dec 1996 (50),Kavala FC (12),3-1,?,Aris Thessaloniki FC (12)
?,(Sun) 15 Dec 1996 (50),OFI Crete FC (12),2-1,?,Panachaiki FC (12)
?,(Sun) 15 Dec 1996 (50),Panathinaikos FC (12),2-0,?,AEK Athens FC (12)
?,(Sun) 15 Dec 1996 (50),PAOK FC (12),1-1,?,Paniliakos FC (12)
?,(Mon) 16 Dec 1996 (51),Veria FC (12),1-0,?,Olympiacos Piraeus FC (12)
?,(Sat) 21 Dec 1996 (51),Xanthi FC (13),1-3,?,Panathinaikos FC (13)
?,(Sun) 22 Dec 1996 (51),AEK Athens FC (13),3-1,?,Veria FC (13)
?,(Sun) 22 Dec 1996 (51),Aris Thessaloniki FC (13),2-0,?,Kastoria FC (13)
?,(Sun) 22 Dec 1996 (51),Athinaikos AS FC (13),1-1,?,Kalamata FC (13)
?,(Sun) 22 Dec 1996 (51),Edessaikos FC (13),1-2,?,OFI Crete FC (13)
?,(Sun) 22 Dec 1996 (51),Kavala FC (13),2-0,?,Ionikos FC (13)
?,(Sun) 22 Dec 1996 (51),Olympiacos Piraeus FC (13),1-0,?,PAOK FC (13)
?,(Sun) 22 Dec 1996 (51),Panachaiki FC (13),0-0,?,Heracles Almelo (13)
?,(Mon) 23 Dec 1996 (52),Paniliakos FC (13),2-0,?,Apollon Smyrnis FC (13)
?,(Sat) 4 Jan 1997 (0),Kalamata FC (14),1-1,?,Panachaiki FC (14)
?,(Sun) 5 Jan 1997 (0),Apollon Smyrnis FC (14),1-1,?,Athinaikos AS FC (14)
?,(Sun) 5 Jan 1997 (0),Heracles Almelo (14),3-1,?,Edessaikos FC (14)
?,(Sun) 5 Jan 1997 (0),Kastoria FC (14),1-2,?,Ionikos FC (14)
?,(Sun) 5 Jan 1997 (0),Olympiacos Piraeus FC (14),1-0,?,Paniliakos FC (14)
?,(Sun) 5 Jan 1997 (0),Panathinaikos FC (14),2-0,?,Kavala FC (14)
?,(Sun) 5 Jan 1997 (0),PAOK FC (14),0-0,?,AEK Athens FC (14)
?,(Sun) 5 Jan 1997 (0),Veria FC (14),2-0,?,Xanthi FC (14)
?,(Mon) 6 Jan 1997 (1),OFI Crete FC (14),2-2,?,Aris Thessaloniki FC (14)
?,(Sat) 11 Jan 1997 (1),Xanthi FC (15),1-1,?,PAOK FC (15)
?,(Sun) 12 Jan 1997 (1),Aris Thessaloniki FC (15),0-0,?,Heracles Almelo (15)
?,(Sun) 12 Jan 1997 (1),Edessaikos FC (15),4-0,?,Kalamata FC (15)
?,(Sun) 12 Jan 1997 (1),Ionikos FC (15),3-2,?,OFI Crete FC (15)
?,(Sun) 12 Jan 1997 (1),Kastoria FC (15),1-2,?,Panathinaikos FC (15)
?,(Sun) 12 Jan 1997 (1),Kavala FC (15),1-0,?,Veria FC (15)
?,(Sun) 12 Jan 1997 (1),Panachaiki FC (15),0-2,?,Apollon Smyrnis FC (15)
?,(Sun) 12 Jan 1997 (1),Paniliakos FC (15),2-3,?,Athinaikos AS FC (15)
?,(Mon) 13 Jan 1997 (2),AEK Athens FC (15),2-0,?,Olympiacos Piraeus FC (15)
?,(Wed) 15 Jan 1997 (2),Apollon Smyrnis FC (16),2-0,?,Edessaikos FC (16)
?,(Wed) 15 Jan 1997 (2),Athinaikos AS FC (16),3-1,?,Panachaiki FC (16)
?,(Wed) 15 Jan 1997 (2),Heracles Almelo (16),4-0,?,Ionikos FC (16)
?,(Wed) 15 Jan 1997 (2),Kalamata FC (16),5-0,?,Aris Thessaloniki FC (16)
?,(Wed) 15 Jan 1997 (2),OFI Crete FC (16),0-0,?,Panathinaikos FC (16)
?,(Wed) 15 Jan 1997 (2),PAOK FC (16),3-0,?,Kavala FC (16)
?,(Wed) 15 Jan 1997 (2),Veria FC (16),4-0,?,Kastoria FC (16)
?,(Thu) 16 Jan 1997 (2),AEK Athens FC (16),2-0,?,Paniliakos FC (16)
?,(Thu) 16 Jan 1997 (2),Olympiacos Piraeus FC (16),0-0,?,Xanthi FC (16)
?,(Sun) 19 Jan 1997 (2),Aris Thessaloniki FC (17),1-0,?,Apollon Smyrnis FC (17)
?,(Sun) 19 Jan 1997 (2),Edessaikos FC (17),3-2,?,Athinaikos AS FC (17)
?,(Sun) 19 Jan 1997 (2),Ionikos FC (17),2-1,?,Kalamata FC (17)
?,(Sun) 19 Jan 1997 (2),Kastoria FC (17),1-2,?,PAOK FC (17)
?,(Sun) 19 Jan 1997 (2),Kavala FC (17),1-2,?,Olympiacos Piraeus FC (17)
?,(Sun) 19 Jan 1997 (2),OFI Crete FC (17),2-0,?,Veria FC (17)
?,(Sun) 19 Jan 1997 (2),Panathinaikos FC (17),4-0,?,Heracles Almelo (17)
?,(Sun) 19 Jan 1997 (2),Xanthi FC (17),1-2,?,AEK Athens FC (17)
?,(Mon) 20 Jan 1997 (3),Paniliakos FC (17),1-0,?,Panachaiki FC (17)
?,(Sat) 25 Jan 1997 (3),Kalamata FC (18),1-0,?,Panathinaikos FC (18)
?,(Sun) 26 Jan 1997 (3),AEK Athens FC (18),2-1,?,Kavala FC (18)
?,(Sun) 26 Jan 1997 (3),Apollon Smyrnis FC (18),0-1,?,Ionikos FC (18)
?,(Sun) 26 Jan 1997 (3),Athinaikos AS FC (18),2-0,?,Aris Thessaloniki FC (18)
?,(Sun) 26 Jan 1997 (3),Olympiacos Piraeus FC (18),3-0,?,Kastoria FC (18)
?,(Sun) 26 Jan 1997 (3),Panachaiki FC (18),3-2,?,Edessaikos FC (18)
?,(Sun) 26 Jan 1997 (3),PAOK FC (18),2-1,?,OFI Crete FC (18)
?,(Sun) 26 Jan 1997 (3),Xanthi FC (18),1-0,?,Paniliakos FC (18)
?,(Mon) 27 Jan 1997 (4),Veria FC (18),0-1,?,Heracles Almelo (18)
?,(Sun) 2 Feb 1997 (4),Aris Thessaloniki FC (19),0-0,?,Panachaiki FC (19)
?,(Sun) 2 Feb 1997 (4),Heracles Almelo (19),2-0,?,PAOK FC (19)
?,(Sun) 2 Feb 1997 (4),Ionikos FC (19),0-1,?,Athinaikos AS FC (19)
?,(Sun) 2 Feb 1997 (4),Kastoria FC (19),0-2,?,AEK Athens FC (19)
?,(Sun) 2 Feb 1997 (4),Kavala FC (19),5-2,?,Xanthi FC (19)
?,(Sun) 2 Feb 1997 (4),OFI Crete FC (19),0-1,?,Olympiacos Piraeus FC (19)
?,(Sun) 2 Feb 1997 (4),Panathinaikos FC (19),0-2,?,Apollon Smyrnis FC (19)
?,(Sun) 2 Feb 1997 (4),Paniliakos FC (19),4-0,?,Edessaikos FC (19)
?,(Sun) 2 Feb 1997 (4),Veria FC (19),1-0,?,Kalamata FC (19)
?,(Sun) 9 Feb 1997 (5),AEK Athens FC (20),0-1,?,OFI Crete FC (20)
?,(Sun) 9 Feb 1997 (5),Athinaikos AS FC (20),0-2,?,Panathinaikos FC (20)
?,(Sun) 9 Feb 1997 (5),Edessaikos FC (20),1-0,?,Aris Thessaloniki FC (20)
?,(Sun) 9 Feb 1997 (5),Kavala FC (20),1-0,?,Paniliakos FC (20)
?,(Sun) 9 Feb 1997 (5),Olympiacos Piraeus FC (20),2-1,?,Heracles Almelo (20)
?,(Sun) 9 Feb 1997 (5),Panachaiki FC (20),2-1,?,Ionikos FC (20)
?,(Sun) 9 Feb 1997 (5),PAOK FC (20),2-0,?,Kalamata FC (20)
?,(Sun) 9 Feb 1997 (5),Xanthi FC (20),6-0,?,Kastoria FC (20)
?,(Mon) 10 Feb 1997 (6),Apollon Smyrnis FC (20),3-2,?,Veria FC (20)
?,(Sun) 16 Feb 1997 (6),Heracles Almelo (21),2-2,?,AEK Athens FC (21)
?,(Sun) 16 Feb 1997 (6),Ionikos FC (21),1-3,?,Edessaikos FC (21)
?,(Sun) 16 Feb 1997 (6),Kastoria FC (21),0-1,?,Kavala FC (21)
?,(Sun) 16 Feb 1997 (6),OFI Crete FC (21),3-0,?,Xanthi FC (21)
?,(Sun) 16 Feb 1997 (6),Panathinaikos FC (21),2-0,?,Panachaiki FC (21)
?,(Sun) 16 Feb 1997 (6),Paniliakos FC (21),1-1,?,Aris Thessaloniki FC (21)
?,(Sun) 16 Feb 1997 (6),PAOK FC (21),3-1,?,Apollon Smyrnis FC (21)
?,(Sun) 16 Feb 1997 (6),Veria FC (21),1-0,?,Athinaikos AS FC (21)
?,(Mon) 17 Feb 1997 (7),Kalamata FC (21),1-4,?,Olympiacos Piraeus FC (21)
?,(Sun) 23 Feb 1997 (7),AEK Athens FC (22),6-1,?,Kalamata FC (22)
?,(Sun) 23 Feb 1997 (7),Aris Thessaloniki FC (22),0-0,?,Ionikos FC (22)
?,(Sun) 23 Feb 1997 (7),Edessaikos FC (22),0-1,?,Panathinaikos FC (22)
?,(Sun) 23 Feb 1997 (7),Kastoria FC (22),1-2,?,Paniliakos FC (22)
?,(Sun) 23 Feb 1997 (7),Kavala FC (22),2-1,?,OFI Crete FC (22)
?,(Sun) 23 Feb 1997 (7),Olympiacos Piraeus FC (22),0-0,?,Apollon Smyrnis FC (22)
?,(Sun) 23 Feb 1997 (7),Panachaiki FC (22),0-0,?,Veria FC (22)
?,(Sun) 23 Feb 1997 (7),Xanthi FC (22),3-4,?,Heracles Almelo (22)
?,(Mon) 24 Feb 1997 (8),Athinaikos AS FC (22),2-3,?,PAOK FC (22)
?,(Sun) 2 Mar 1997 (8),Apollon Smyrnis FC (23),1-2,?,AEK Athens FC (23)
?,(Sun) 2 Mar 1997 (8),Heracles Almelo (23),2-3,?,Kavala FC (23)
?,(Sun) 2 Mar 1997 (8),Kalamata FC (23),2-2,?,Xanthi FC (23)
?,(Sun) 2 Mar 1997 (8),OFI Crete FC (23),1-0,?,Kastoria FC (23)
?,(Sun) 2 Mar 1997 (8),Olympiacos Piraeus FC (23),4-0,?,Athinaikos AS FC (23)
?,(Sun) 2 Mar 1997 (8),Panathinaikos FC (23),1-0,?,Aris Thessaloniki FC (23)
?,(Sun) 2 Mar 1997 (8),PAOK FC (23),2-0,?,Panachaiki FC (23)
?,(Sun) 2 Mar 1997 (8),Veria FC (23),0-0,?,Edessaikos FC (23)
?,(Mon) 3 Mar 1997 (9),Paniliakos FC (23),2-2,?,Ionikos FC (23)
?,(Sun) 9 Mar 1997 (9),Aris Thessaloniki FC (24),2-0,?,Veria FC (24)
?,(Sun) 9 Mar 1997 (9),Edessaikos FC (24),1-4,?,PAOK FC (24)
?,(Sun) 9 Mar 1997 (9),Ionikos FC (24),3-1,?,Panathinaikos FC (24)
?,(Sun) 9 Mar 1997 (9),Kastoria FC (24),0-3,?,Heracles Almelo (24)
?,(Sun) 9 Mar 1997 (9),Kavala FC (24),2-0,?,Kalamata FC (24)
?,(Sun) 9 Mar 1997 (9),OFI Crete FC (24),3-1,?,Paniliakos FC (24)
?,(Sun) 9 Mar 1997 (9),Panachaiki FC (24),0-2,?,Olympiacos Piraeus FC (24)
?,(Sun) 9 Mar 1997 (9),Xanthi FC (24),3-0,?,Apollon Smyrnis FC (24)
?,(Mon) 10 Mar 1997 (10),AEK Athens FC (24),6-1,?,Athinaikos AS FC (24)
?,(Sun) 16 Mar 1997 (10),AEK Athens FC (25),2-0,?,Panachaiki FC (25)
?,(Sun) 16 Mar 1997 (10),Apollon Smyrnis FC (25),2-0,?,Kavala FC (25)
?,(Sun) 16 Mar 1997 (10),Athinaikos AS FC (25),0-0,?,Xanthi FC (25)
?,(Sun) 16 Mar 1997 (10),Heracles Almelo (25),0-1,?,OFI Crete FC (25)
?,(Sun) 16 Mar 1997 (10),Kalamata FC (25),2-0,?,Kastoria FC (25)
?,(Sun) 16 Mar 1997 (10),Olympiacos Piraeus FC (25),4-0,?,Edessaikos FC (25)
?,(Sun) 16 Mar 1997 (10),Paniliakos FC (25),2-1,?,Panathinaikos FC (25)
?,(Sun) 16 Mar 1997 (10),PAOK FC (25),2-1,?,Aris Thessaloniki FC (25)
?,(Sun) 16 Mar 1997 (10),Veria FC (25),1-1,?,Ionikos FC (25)
?,(Sun) 23 Mar 1997 (11),Aris Thessaloniki FC (26),0-0,?,Olympiacos Piraeus FC (26)
?,(Sun) 23 Mar 1997 (11),Heracles Almelo (26),3-0,?,Paniliakos FC (26)
?,(Sun) 23 Mar 1997 (11),Ionikos FC (26),2-1,?,PAOK FC (26)
?,(Sun) 23 Mar 1997 (11),Kastoria FC (26),0-0,?,Apollon Smyrnis FC (26)
?,(Sun) 23 Mar 1997 (11),Kavala FC (26),1-1,?,Athinaikos AS FC (26)
?,(Sun) 23 Mar 1997 (11),OFI Crete FC (26),2-0,?,Kalamata FC (26)
?,(Sun) 23 Mar 1997 (11),Panathinaikos FC (26),1-0,?,Veria FC (26)
?,(Sun) 23 Mar 1997 (11),Xanthi FC (26),4-3,?,Panachaiki FC (26)
?,(Mon) 24 Mar 1997 (12),Edessaikos FC (26),0-2,?,AEK Athens FC (26)
?,(Wed) 26 Mar 1997 (12),AEK Athens FC (27),5-1,?,Aris Thessaloniki FC (27)
?,(Wed) 26 Mar 1997 (12),Apollon Smyrnis FC (27),0-0,?,OFI Crete FC (27)
?,(Wed) 26 Mar 1997 (12),Athinaikos AS FC (27),3-0,?,Kastoria FC (27)
?,(Wed) 26 Mar 1997 (12),Edessaikos FC (27),1-1,?,Xanthi FC (27)
?,(Wed) 26 Mar 1997 (12),Kalamata FC (27),2-0,?,Heracles Almelo (27)
?,(Wed) 26 Mar 1997 (12),Olympiacos Piraeus FC (27),4-1,?,Ionikos FC (27)
?,(Wed) 26 Mar 1997 (12),Panachaiki FC (27),1-2,?,Kavala FC (27)
?,(Wed) 26 Mar 1997 (12),Paniliakos FC (27),2-0,?,Veria FC (27)
?,(Wed) 26 Mar 1997 (12),PAOK FC (27),1-0,?,Panathinaikos FC (27)
?,(Sun) 6 Apr 1997 (13),Aris Thessaloniki FC (28),2-1,?,Xanthi FC (28)
?,(Sun) 6 Apr 1997 (13),Heracles Almelo (28),2-1,?,Apollon Smyrnis FC (28)
?,(Sun) 6 Apr 1997 (13),Ionikos FC (28),0-0,?,AEK Athens FC (28)
?,(Sun) 6 Apr 1997 (13),Kastoria FC (28),0-0,?,Panachaiki FC (28)
?,(Sun) 6 Apr 1997 (13),Kavala FC (28),2-2,?,Edessaikos FC (28)
?,(Sun) 6 Apr 1997 (13),OFI Crete FC (28),3-1,?,Athinaikos AS FC (28)
?,(Sun) 6 Apr 1997 (13),Panathinaikos FC (28),0-2,?,Olympiacos Piraeus FC (28)
?,(Sun) 6 Apr 1997 (13),Veria FC (28),1-2,?,PAOK FC (28)
?,(Mon) 7 Apr 1997 (14),Kalamata FC (28),0-2,?,Paniliakos FC (28)
?,(Sun) 13 Apr 1997 (14),AEK Athens FC (29),3-0,?,Panathinaikos FC (29)
?,(Sun) 13 Apr 1997 (14),Apollon Smyrnis FC (29),3-0,?,Kalamata FC (29)
?,(Sun) 13 Apr 1997 (14),Aris Thessaloniki FC (29),1-3,?,Kavala FC (29)
?,(Sun) 13 Apr 1997 (14),Athinaikos AS FC (29),2-0,?,Heracles Almelo (29)
?,(Sun) 13 Apr 1997 (14),Edessaikos FC (29),2-0,?,Kastoria FC (29)
?,(Sun) 13 Apr 1997 (14),Olympiacos Piraeus FC (29),2-0,?,Veria FC (29)
?,(Sun) 13 Apr 1997 (14),Panachaiki FC (29),2-0,?,OFI Crete FC (29)
?,(Sun) 13 Apr 1997 (14),Paniliakos FC (29),0-2,?,PAOK FC (29)
?,(Sun) 13 Apr 1997 (14),Xanthi FC (29),3-0,?,Ionikos FC (29)
?,(Sun) 20 Apr 1997 (15),Apollon Smyrnis FC (30),2-0,?,Paniliakos FC (30)
?,(Sun) 20 Apr 1997 (15),Heracles Almelo (30),0-0,?,Panachaiki FC (30)
?,(Sun) 20 Apr 1997 (15),Ionikos FC (30),2-2,?,Kavala FC (30)
?,(Sun) 20 Apr 1997 (15),Kalamata FC (30),0-0,?,Athinaikos AS FC (30)
?,(Sun) 20 Apr 1997 (15),Kastoria FC (30),0-3,?,Aris Thessaloniki FC (30)
?,(Sun) 20 Apr 1997 (15),OFI Crete FC (30),2-1,?,Edessaikos FC (30)
?,(Sun) 20 Apr 1997 (15),Panathinaikos FC (30),1-2,?,Xanthi FC (30)
?,(Sun) 20 Apr 1997 (15),PAOK FC (30),0-0,?,Olympiacos Piraeus FC (30)
?,(Mon) 21 Apr 1997 (16),Veria FC (30),1-1,?,AEK Athens FC (30)
?,(Sun) 4 May 1997 (17),AEK Athens FC (31),1-2,?,PAOK FC (31)
?,(Sun) 4 May 1997 (17),Aris Thessaloniki FC (31),1-2,?,OFI Crete FC (31)
?,(Sun) 4 May 1997 (17),Athinaikos AS FC (31),3-2,?,Apollon Smyrnis FC (31)
?,(Sun) 4 May 1997 (17),Edessaikos FC (31),3-4,?,Heracles Almelo (31)
?,(Sun) 4 May 1997 (17),Ionikos FC (31),5-1,?,Kastoria FC (31)
?,(Sun) 4 May 1997 (17),Kavala FC (31),0-4,?,Panathinaikos FC (31)
?,(Sun) 4 May 1997 (17),Panachaiki FC (31),0-0,?,Kalamata FC (31)
?,(Sun) 4 May 1997 (17),Paniliakos FC (31),0-5,?,Olympiacos Piraeus FC (31)
?,(Sun) 4 May 1997 (17),Xanthi FC (31),3-2,?,Veria FC (31)
?,(Sun) 11 May 1997 (18),Apollon Smyrnis FC (32),2-0,?,Panachaiki FC (32)
?,(Sun) 11 May 1997 (18),Athinaikos AS FC (32),3-0,?,Paniliakos FC (32)
